file,access_modify,final_modify,annotation_modify,param_modify,import_extensive,parent_class_modify,parent_interface_modify,class_body_modify,inner_extensive_class,class_var_extensive,class_var_modify,method_body_modify,method_extensive,method_var_extensive,method_var_modify,Move Class,Rename Class,Move And Rename Class,Move Method,Rename Method,Move And Rename Method,Extract Method,Extract And Move Method,Rename Parameter,Add Parameter,Remove Parameter
core/java/android/accounts/AccountManager.java,,,,,,,,17,,,,37,,,,,,,,,,,,,,
core/java/android/app/DownloadManager.java,,,,,,,,3,,1,,3,2,,,,,,,,,,,,,
core/java/android/app/Instrumentation.java,,,,,,,,1,,,,6,,,,,,,,,,,,,,
core/java/android/app/NotificationChannel.java,,,,,,,,1,,9,,8,6,,1,,,,,,,,,,,
core/java/android/app/NotificationManager.java,,,,,,,,1,,,,,2,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothAdapter.java,,,,,,,,1,,,,10,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothCodecConfig.java,,,,,,,,1,,3,2,1,,,,,,,,,,,,,,
core/java/android/bluetooth/le/BluetoothLeScanner.java,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,
core/java/android/bluetooth/le/ScanSettings.java,,,,,,,,2,,1,,1,,,,,,,,,,,,,,
core/java/android/content/ContentResolver.java,,,,,,,,1,,,,3,,,,,,,,,,,,,,
core/java/android/content/Intent.java,,,,,,,,1,,3,,1,,,,,,,,,,,,,,
core/java/android/content/pm/PackageManager.java,,,,,,,,1,,1,,,,,,,,,,,,,,,,
core/java/android/hardware/Camera.java,,,,,1,,,5,1,126,,11,103,10,,,,,,,,,,,,
core/java/android/hardware/camera2/CameraDevice.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/hardware/camera2/CameraManager.java,,,,,2,,,2,,,,4,,16,,,,,,,,,,,,
core/java/android/hardware/camera2/impl/CameraCaptureSessionImpl.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/hardware/camera2/impl/CameraConstrainedHighSpeedCaptureSessionImpl.java,,,,,2,,,1,,,,1,1,,1,,,,,,,,,,,
core/java/android/hardware/camera2/impl/CameraDeviceImpl.java,,,,,5,,,1,,2,,3,3,,,,,,,,,,,,,
core/java/android/hardware/camera2/utils/SurfaceUtils.java,,,,,3,,,1,,,,1,1,,,,,,,,,,,,,
core/java/android/hardware/display/AmbientDisplayConfiguration.java,,,,,,,,1,,,,1,4,,,,,,,,,1,,,,
core/java/android/hardware/display/ColorDisplayManager.java,,,,,,,,2,,,,,4,,,,,,,,,,,,,
core/java/android/hardware/SystemSensorManager.java,,,,,,,,1,,,,2,,,,,,,,,,,,,,
core/java/android/nfc/cardemulation/AidGroup.java,3,4,,,,,,1,,,3,,,,,,,,,,,,,,,
core/java/android/nfc/cardemulation/ApduServiceInfo.java,9,10,,,,,,1,,,9,,,,,,,,,,,,,,,
core/java/android/nfc/tech/MifareClassic.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/nfc/tech/NfcA.java,,,,,,,,1,,,,1,,,1,,,,,,,,,,,
core/java/android/os/Build.java,,,,,,,,2,,2,,,,,,,,,,,,,,,,
core/java/android/os/PowerManager.java,,,,,,,,1,,3,,,1,,,,,,,,,,,,,
core/java/android/os/storage/DiskInfo.java,,,,,,,,1,,2,,,,,,,,,,,,,,,,
core/java/android/os/UpdateEngine.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/preference/RingtonePreference.java,,,,,,,,1,,,,,,,,,,,,,,,,,,
core/java/android/provider/Browser.java,,,,,,,,1,,,,6,,,,,,,,,,,,,,
core/java/android/provider/CalendarContract.java,,,,,,,,6,,,,8,,,,,,,,,,,,,,
core/java/android/provider/ContactsContract.java,,,,,,,,4,,,,7,,,,,,,,,,,,,,
core/java/android/provider/Downloads.java,,,,,,,,2,,1,,,,,,,,,,,,,,,,
core/java/android/provider/Settings.java,,,,,,,,4,,165,2,2,,,,,,,,,,,,,,
core/java/android/service/carrier/CarrierIdentifier.java,,,,,,,,2,,2,,8,3,,,,,,,,,,,,,
core/java/android/service/dreams/DreamManagerInternal.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/speech/SpeechRecognizer.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/view/View.java,,,,,,,,1,,,,4,,,,,,,,,,,,,,
core/java/android/view/WindowManagerImpl.java,,,,,,,,1,,,,2,,,,,,,,,,,,,,
core/java/android/webkit/WebChromeClient.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/com/android/internal/util/ScreenshotHelper.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/com/android/internal/widget/LockPatternUtils.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/tests/coretests/src/android/provider/SettingsBackupTest.java,,,,,,,,1,,,1,,,,,,,,,,,,,,,
location/java/android/location/LocationManager.java,,,,,,,,1,,,,17,,,,,,,,,,,,,,
media/java/android/media/AudioFormat.java,,,,,,,,2,,7,,4,,,,,,,,,,,,,,
media/java/android/media/AudioRecord.java,,,,,,,,1,,,,4,,,,,,,,,,,,,,
media/java/android/media/AudioSystem.java,,,,,,,,1,,2,,1,,,,,,,,,,,,,,
media/java/android/media/MediaRecorder.java,,,,,,,,3,,6,,,,,,,,,,,,,,,,
media/java/android/media/MediaScanner.java,,,,,,,,2,,3,,5,,3,,,,,,,,,,,,
