file,access_modify,final_modify,annotation_modify,param_modify,import_extensive,parent_class_modify,parent_interface_modify,class_body_modify,inner_extensive_class,class_var_extensive,class_var_modify,method_body_modify,method_extensive,method_var_extensive,method_var_modify,Move Class,Rename Class,Move And Rename Class,Move Method,Rename Method,Move And Rename Method,Extract Method,Extract And Move Method,Rename Parameter,Add Parameter,Remove Parameter
core/java/android/app/admin/DevicePolicyManager.java,,,,,,,,1,,,,,2,,,,,,,,,,,,,
core/java/android/app/admin/SystemUpdateInfo.java,,,,,,,,1,,,,2,,,,,,,,,,,,,,
core/java/android/app/ApplicationPackageManager.java,,,,,1,,,1,,1,,,1,,,,,,,,,,,,,
core/java/android/app/DownloadManager.java,,,,,,,,3,,1,,3,2,,,,,,,,,,,,,
core/java/android/app/KeyguardManager.java,,,,,,,,1,,,,1,,1,1,,,,,,,,,,,
core/java/android/app/LoadedApk.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/app/StatusBarManager.java,,,,,,,,1,,1,,,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothAdapter.java,,,,,,,,1,,,,2,6,4,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothClass.java,,,,,,,,2,,1,,,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothCodecConfig.java,,,,,,,,1,,10,2,2,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothDevice.java,,,,,,,,1,,16,,,4,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothHeadset.java,,,,,,,,1,,4,,,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothProfile.java,,,,,,,,1,,7,1,1,,,,,,,,,,,,,,
core/java/android/bluetooth/le/AdvertiseData.java,,,,1,,,,3,,2,1,7,2,2,,,,,,,,,,,1,
core/java/android/bluetooth/le/BluetoothLeScanner.java,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,
core/java/android/bluetooth/le/BluetoothLeUtils.java,,,,,,,,1,,,,,2,,,,,,,,,,,,,
core/java/android/bluetooth/le/PeriodicAdvertisingCallback.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/bluetooth/le/PeriodicAdvertisingManager.java,,,,,,,,2,,,,1,4,,,,,,,,,,,,,
core/java/android/bluetooth/le/ScanFilter.java,,,,1,,,,3,,12,1,8,7,7,,,,,,,,,,,,
core/java/android/bluetooth/le/ScanRecord.java,,,,1,,,,1,,4,,3,2,2,,,,,,,,,,,,
core/java/android/bluetooth/le/ScanResult.java,,,,,,,,1,,1,,5,2,,,,,,,,,,,,,
core/java/android/bluetooth/le/ScanSettings.java,,,,,,,,2,,1,,1,,,,,,,,,,,,,,
core/java/android/content/pm/PackageManager.java,,,,,1,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/content/pm/PackageParser.java,,,,,1,,,3,,,,,2,,,,,,,,,,,,,
core/java/android/content/res/AssetManager.java,,,,,,,,1,,1,,1,,,,,,,,,,,,,,
core/java/android/hardware/Camera.java,,,,,1,,,1,,,,3,2,1,,,,,,,,,,,,
core/java/android/hardware/camera2/CameraManager.java,,,,,1,,,2,,,,2,,1,,,,,,,,,,,,
core/java/android/hardware/camera2/impl/CameraMetadataNative.java,,,,,,,,1,,,,,3,,,,,,,,,,,,,
core/java/android/inputmethodservice/InputMethodService.java,,,,,,,,2,,4,,5,,,,,,,,,,,,,,
core/java/android/net/NetworkPolicyManager.java,,,,,,,,1,,4,,,,,,,,,,,,,,,,
core/java/android/net/VpnManager.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/nfc/cardemulation/AidGroup.java,3,4,,,,,,1,,,3,,,,,,,,,,,,,,,
core/java/android/nfc/cardemulation/ApduServiceInfo.java,9,10,,,,,,1,,,9,,,,,,,,,,,,,,,
core/java/android/nfc/tech/MifareClassic.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/nfc/tech/NfcA.java,,,,,,,,1,,,,1,,,1,,,,,,,,,,,
core/java/android/os/BatteryManager.java,,,,,,,,1,,9,1,,,,,,,,,,,,,,,
core/java/android/os/BatteryUsageStats.java,,,,1,,,,2,,2,,5,,,,,,,,,,,,,1,
core/java/android/os/FileUtils.java,,,,,,,,1,,,,1,,1,,,,,,,,,,,,
core/java/android/os/PowerManager.java,,,,,,,,1,,6,,1,3,,,,,,,,,,,,,
core/java/android/os/PowerManagerInternal.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/os/UpdateEngine.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/permission/PermissionManager.java,,,,,,,,1,,2,,2,,,,,,,,,,,,,,
core/java/android/preference/SeekBarVolumizer.java,,,,,,,,2,,1,,4,2,,1,,,,,,,,,,,
core/java/android/provider/Downloads.java,,,,,,,,2,,1,,,,,,,,,,,,,,,,
core/java/android/provider/Settings.java,,,,,,,,4,,7,,,,,,,,,,,,,,,,
core/java/android/view/KeyEvent.java,,,,,,,,1,,1,,1,,,,,,,,,,,,,,
core/java/android/widget/AbsSeekBar.java,,,,,,,,1,,,,1,1,,,,,,,,,,,,,
core/java/com/android/internal/app/ChooserActivity.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/com/android/internal/content/om/OverlayConfig.java,,,,1,,,,1,,,,2,,1,6,,,,,,,,,,1,
core/java/com/android/internal/os/BatteryStatsHistory.java,2,,,2,,,,1,,,,4,5,,1,,,,,,,2,,,,
core/java/com/android/internal/os/BatteryStatsImpl.java,,,,,,,,1,,,,1,1,,,,,,,,,,,,,
core/java/com/android/internal/os/BatteryUsageStatsProvider.java,,,,,1,,,1,,,,1,,3,1,,,,,,,,,,,
core/java/com/android/internal/os/Zygote.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/com/android/internal/view/RotationPolicy.java,,,,,1,,,1,,1,,3,4,,1,,,,,,,,,,,
core/java/com/android/internal/widget/LockPatternUtils.java,6,,,2,,,,1,,1,,8,7,,,,,,,,,,,,2,
core/java/com/android/internal/widget/LockPatternView.java,1,6,,4,1,,,3,,7,5,18,11,1,18,,,,,,,,,,4,
core/java/com/android/internal/widget/LockscreenCredential.java,,,,1,,,,1,,,,1,,,,,,,,,,,,,1,
core/tests/coretests/src/com/android/internal/content/res/OverlayConfigTest.java,,,,,,,,1,,,,2,,,2,,,,,,,,,,,
core/tests/coretests/src/com/android/internal/os/BatteryUsageStatsProviderTest.java,,,,,,,,1,,1,1,,,,,,,,,,,,,,,
core/tests/coretests/src/com/android/internal/os/BatteryUsageStatsRule.java,,,,,,,,1,,,,2,1,,,,,,,,,,,,,
core/tests/coretests/src/com/android/internal/os/MockBatteryStatsImpl.java,,,,,,,,1,,,,1,1,,,,,,,,,,,,,
core/tests/coretests/src/com/android/internal/widget/LockscreenCredentialTest.java,,,,,,,,1,,,,2,,,1,,,,,,,,,,,
libs/WindowManager/Shell/src/com/android/wm/shell/common/DisplayLayout.java,,,,,1,,,1,,,,1,,,,,,,,,,,,,,
media/java/android/media/AudioManager.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
media/java/android/media/AudioSystem.java,,,,,1,,,1,,5,,3,,,,,,,,,,,,,,
obex/javax/obex/ClientOperation.java,,,,,,,,1,,,1,,,,,,,,,,,,,,,
obex/javax/obex/ClientSession.java,,,,,,,,1,,,1,,,,,,,,,,,,,,,
obex/javax/obex/ObexHelper.java,,,,,,,,1,,2,1,2,,,,,,,,,,,,,,
obex/javax/obex/ServerOperation.java,,,,,,,,1,,,1,3,,,,,,,,,,,,,,
obex/javax/obex/ServerSession.java,,,,,,,,1,,3,,5,4,,,,,,,,,,,,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/A2dpProfile.java,,,,,,,,1,,1,,4,,,1,,,,,,,,,,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothCallback.java,,,,,1,,,1,,,,,5,,,,,,,,,,,,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java,,,,,2,,,2,6,1,,2,7,4,,,,,,,,,,,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothUtils.java,,,,,,,,1,,,,1,,1,,,,,,,,,,,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java,,,,,,,,1,,12,,8,9,7,1,,,,,,,,,,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDeviceManager.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java,1,,,,3,,,1,,5,1,2,4,4,,,,,,,,,,,,
packages/SettingsLib/src/com/android/settingslib/display/DisplayDensityUtils.java,,,,,,,,1,,,2,,,,,,,,,,,,,,,
packages/SettingsLib/tests/robotests/src/com/android/settingslib/bluetooth/A2dpProfileTest.java,,,,,,,,1,,,1,1,,,,,,,,,,,,,,
packages/SettingsProvider/src/android/provider/settings/backup/GlobalSettings.java,,,,,,,,1,,,1,,,,,,,,,,,,,,,
packages/SettingsProvider/src/android/provider/settings/validators/GlobalSettingsValidators.java,,,,,,,,1,,,,,,,,,,,,,,,,,,
packages/SettingsProvider/src/android/provider/settings/validators/SecureSettingsValidators.java,,,,,,,,1,,,,,,,,,,,,,,,,,,
packages/SettingsProvider/src/android/provider/settings/validators/SystemSettingsValidators.java,,,,,,,,1,,,,,,,,,,,,,,,,,,
